Node,Parent
230_GENERAL,23_CARGO_AREA_-_HULL_SMALL_VESSELS
230001_Cargo_tanks,230_GENERAL
230020_Slop_tanks,230_GENERAL
230030_Ballast_tanks,230_GENERAL
230040_Ballast_FO_tanks,230_GENERAL
231_SHELL_PANELS_SEPARATE_SHELL_PLATES,23_CARGO_AREA_-_HULL_SMALL_VESSELS
232_BOTTOM_KEEL_and_BILGE_PLATES_W_STIFFENING,23_CARGO_AREA_-_HULL_SMALL_VESSELS
233_INNER_BOTTOM_W_STIFFENING,23_CARGO_AREA_-_HULL_SMALL_VESSELS
233010_Ballast_tanks,233_INNER_BOTTOM_W_STIFFENING
233020_FW_tanks,233_INNER_BOTTOM_W_STIFFENING
233030_Sewage_tanks,233_INNER_BOTTOM_W_STIFFENING
233040_Dry_tanks,233_INNER_BOTTOM_W_STIFFENING
233050_Cofferdams,233_INNER_BOTTOM_W_STIFFENING
233070_FO_tanks,233_INNER_BOTTOM_W_STIFFENING
234_1_DECK_W_STIFFENING,23_CARGO_AREA_-_HULL_SMALL_VESSELS
234010_Deck,234_1_DECK_W_STIFFENING
234020_Deck_tanks,234_1_DECK_W_STIFFENING
235_DECKS_BELOW_1_DECK_W_STIFFENING,23_CARGO_AREA_-_HULL_SMALL_VESSELS
